Identifiant;Nom_officiel;Adresse;Lieu;Code_postal;Ville;Departement;Région;URL;Telephone;Categorie;Domaine_thematique;Histoire;Atout;Thèmes;Artiste;Personnage_phare;Intérêt;Protection_batiment;Protection_espace;Refmer;Annee_creation;Date_de_mise_a_jour;Coordonnees
M0369;musée de Montmartre;12 rue Cortot;manoir de Rosimond;75018;Paris;Paris;Ile-de-France;museedemontmartre.fr/;01 49 25 89 39;Maison d'artiste;Arts décoratifs,Art moderne et contemporain,Beaux-arts,Histoire,Photographie;La Société du Vieux Montmartre, créée en 1886, réunit de nombreux historiens de Paris. Certains partagent à leur mort leurs collections entre la Bibliothèque nationale, le musée Carnavalet et la Société du Vieux Montmartre pour ce qui concerne l'histoire des IXe et XVIIIe arrondissements. Le premier président de la société est Charles Sellier, conservateur du musée Carnavalet. Le musée ouvre en 1960 et Claude Charpentier, architecte et neveu du compositeur Gustave Charpentier en est le premier conservateur.  Le fonds très varié est le résultat de dons faits par des collectionneurs intéressés par les œuvres d'art et les documents historiques montmartrois. Ces collections, qui ne cessent de s'enrichir, relatent une vaste histoire artistique, religieuse, politique, festive et folklorique.  100.000 pièces d'archives sur la vie à Montmartre, ainsi que 3.000 ouvrages et une abondante documentation viennent compléter ce fonds.;Ensemble d'affiches, de toiles et de documents évoquant les cabarets de Montmartre, « le Chat noir », Willette, « Parce Domine », théâtres d'ombres, le « Divan japonais », le « Lapin agile » et des music-halls comme le « Moulin rouge ». Peintures et documents retraçant l'évolution topographique de la Butte (maquette du village de Montmartre) ainsi que son évolution historique (l'histoire de l'Abbaye, l'histoire de la Commune et la construction du Sacré-Cœur). Salle dédiée aux personnalités de spectacles. Les ateliers 12 rue Cortot (Suzanne Valadon, Utrillo, Utter). Les porcelaines de la Fabrique de Clignancourt ayant appartenu au frère de Louis XVI.;"Architecture et urbanisme;Arts décoratifs : Céramique, Mobilier;Arts du spectacle (cabarets, music halls, théâtres, cirques, cinémas);Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Archives papier, Fonds ancien d imprimés, Photographie, Partitions, Plans;Histoire : Période historique (1870), Histoire locale et régionale, Histoire religieuse;Musique : Instruments, Souvenirs de compositeurs et interprètes";Collection très complète d'André Gill.  Affichistes : Jules Chéret, Grün, Charles Léandre, Maurice Neumont, Poulbot, Roedel, Steinlen, Toulouse-Lautrec, Willette.  Peintres : Andrey-Prévost, Pierre de Belay, Serge Belloni, Eugène Carrière, Jules Depaquit, Gen-Paul, Charles Félix Gir, Edouard Lefevre, Louis Legrand, Marcel Leprin, Jean Lugnier, Elisée Maclet, Lucien, Mainssieux, Henri Martin, Henri Mirande, Frank Kupka, Alfred Renaudin, Maurice Utrillo, Georges Villa, Félix Ziem.;Marcel Aymé, Alphonse Allais, Hector Berlioz, Aristide Bruant, Famille Delâtre.;L'une des bâtisses les plus anciennes de la Butte, construite au XVIIe siècle : la Maison du Bel Air. Entourée de jardins, elle fut le lieu de création de nombreux artistes, tels Auguste Renoir, Émile Bernard, Raoul Dufy, Charles Camoin, Suzanne Valadon ou Maurice Utrillo.;;Site classé. Site patrimonial remarquable.;"SPR1100002;SPR1100001";;2024-01-26;48.887709, 2.340577
M0374;musée municipal;mairie;;77580;Crécy-la-Chapelle;Seine-et-Marne;Ile-de-France;;;;;;;;;;;;;;;2024-01-26;48.85813263142596, 2.908441509296712
M0375;musée d'art et d'histoire militaire;88 rue Saint-Honoré;;77300;Fontainebleau;Seine-et-Marne;Ile-de-France;www.fontainebleau.fr/engagee/fontainebleau-avance/un-batiment-renove-et-un-lieu-totalement-repense-251.html;01 64 22 49 80;;Beaux-Arts,Histoire;Le musée résulte de la fusion, en 1975, du musée militaire créé en 1938 par Hugo de  Fischner, rue Royalet , et du musée Napoléonien créé en 1963 par Maître Prost. Avec ses 300 pièces les collections du musée évoquent l'uniforme, l'arment, et l'équipement militaire. Par volonté de proposer une offre culturelle toujours plus importante, la bibliothèque est devenue une médiathèque en septembre 2019. Ce bâtiment abrite également un espace d'exposition et les réserves du musée d'art et d'histoire militaires.;;"Collections militaires : Armes, Artillerie, Uniformes, Armures;Histoire : Période historique, Musée thématique";;;;;;;;2024-01-26;48.406893, 2.698781
M0386;musée départemental Stéphane Mallarmé;4 quai Stéphane Mallarmé;pont de Valvins;77870;Vulaines-sur-Seine;Seine-et-Marne;Ile-de-France;www.musee-mallarme.fr/fr;01 64 23 73 27;Maison musée. Musée littéraire. Maison des Illustres.;Histoire,Littérature;Professeur d'anglais enseignant à Paris, le poète découvre cette maison en 1874. Il la loue pour y séjourner régulièrement à Pâques, l'été et à la Toussaint... Très attaché à ce lieu, il effectue même d'importants travaux après sa retraite, en 1893, afin de s'y installer définitivement. Il y meurt le 9 septembre 1898.  La maison reste la propriété des héritiers du poète jusqu'en 1985, date à laquelle elle est achetée, avec son mobilier et sa bibliothèque, par le Département de Seine-et-Marne.;Lieu de mémoire rassemblant des souvenirs du grand poète symboliste, ce musée restitue l'atmosphère et l'ambiance qui régnaient à son époque. Les décors, les lumières et les meubles sont ceux de Mallarmé et les pièces dans lesquelles il vécut ont été reconstituées à l'identique ainsi que son jardin.  Outre l'univers de Mallarmé, le musée présente les œuvres de ses amis peintres et sculpteurs ainsi que des expositions temporaires.;"Histoire;Biographie.";;Stéphane Mallarmé  (1842 - 1898).;"Entièrement rénovée par l'architecte Bruno Donzet, la maison comporte aujourd'hui deux espaces ouverts au public : au premier étage, l'appartement du poète et une salle didactique ; au rez-de-chaussée, une bibliothèque et des expositions temporaires.";Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00087333?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Vulaines-sur-Seine%22%5D&last_view=%22mosaic%22&idQuery=%228487602-57b2-d55-0fe5-7c1efac3f64e%22 Jardin :;;"PA00087333;IA77000403;MI082";;2024-01-26;48.430323, 2.746605
M0387;musée de la Batellerie;place Gévelot;château du prieuré;78700;Conflans-Sainte-Honorine;Yvelines;Ile-de-France;www.musee-batellerie-conflans.fr/fr/accueil/;01 34 90 39 50;;Beaux-arts,Histoire,Technique et industrie;"Les collections du musée ont été constituées dès 1967. Le musée de Conflans, le plus ancien et le plus important des musées de la batellerie en France a bénéficié de plusieurs facteurs extrêmement favorables : - notoriété des travaux de son conservateur, F. Beaudouin ; - réseau très important constitué dès le début des années 1970 par l’Association des Amis du Musée ; - diffusion des Cahiers du Musée ; - proximité de Paris et des grands antiquaires spécialisés ;  - relations juridiques avec l’Office National de la Navigation et les compagnies de navigation dont les principales avaient leur siège dans la région parisienne. Le musée a longtemps été le seul établissement de son genre à pouvoir financer une véritable politique d’enrichissement de ses collections. Il faut noter à ce sujet que l’essentiel du budget alloué au musée était affecté aux acquisitions au détriment des expositions temporaires ou de la modernisation de la muséographie. Dans l’esprit de F. Beaudouin, il s’agissait de « préserver l’avenir »… Unique en France, le musée n’avait pas à souffrir de la concurrence d’autres institutions, que ce soit pour les dons ou pour les acquisitions à titre onéreux.  Les dons : ceux-ci furent très importants à la création du musée, suite à l’exposition préfigurative de 1966 – Conflans et les autres villes du confluent de la Seine et de l’Oise (Andrésy et Maurecourt) comptaient (et comptent toujours) une proportion non négligeable de mariniers et d’anciens mariniers. François Beaudouin a également noué dès l’origine de très nombreux contacts avec les sociétés de navigation avec, à la clef, plusieurs dons et des dépôts longue durée. À la fin des années 1970 et au début des années 1980, beaucoup de ces compagnies de transport vont disparaître. Le musée réussira à sauver des liquidations judiciaires une partie de leur patrimoine : maquettes d’apparat qui décoraient les locaux des conseils d’administration, archives…  Notons que l’investissement du musée et de son association d’amis pour le sauvetage et la restauration d’unités à flot a été unanimement apprécié par la profession. De nouveaux contacts ont été noués et une quinzaine de mariniers et anciens mariniers ont adhéré depuis peu à l’Association. Les dépôts de l’État : ils renforcent encore l’importance des collections ; les musées nationaux (musée de l’Armée, de la Marine, des A.T.P., des Arts et Métiers) ont en effet déposé à Conflans plusieurs œuvres majeures du patrimoine fluvial français. Campagnes de collecte : elles ont été régulièrement réalisées depuis la création du musée. Il s’agit d’une démarche volontaire de prospection sur des sites ciblés afin d’enrichir les collections par des récupérations, des dons ou des acquisitions. François Beaudouin a réalisé des enquêtes auprès des derniers constructeurs de bateaux en bois et a rassemblé une collection unique de matériel, outillage spécialisé, gabarits, etc. Cette politique se poursuit aujourd’hui avec les visites régulières des chantiers de « déchirage » (destruction des bateaux) avec, pour objectif, de compléter les collections d’apparaux de navigation, d’accastillage, de « parties de bateaux ». Parmi les acquisitions récentes, citons une réserve d’eau de péniche en bois, une « cuisine d’été », un gouvernail en bois… En 1995, un groupe de travail composé de mariniers et du personnel du musée a été mis en place pour intensifier cette politique avec la collaboration financière de l’Association des Amis du Musée.   Les acquisitions : une part importante du budget d’investissement du musée a longtemps été consacrée au financement des « reconstitutions scientifiques », maquettes de bateaux réalisées d’après les plans du musée. Ces modèles réduits étaient en quelque sorte l’aboutissement muséographique du travail de recherche réalisé par François Beaudouin. Les bateaux de transport fluviaux anciens sont souvent d’humbles embarcations réalisées sans plans par des petits chantiers héritiers de techniques traditionnelles transmises de génération en génération. Pour de très nombreux types régionaux, il n’existe aucun plan ancien, aucun « manuel » de construction. La réalisation de ces reconstitutions scientifiques était donc le seul moyen « grand public » pour faire revivre ces batelleries disparues. Ces maquettes didactiques sont actuellement au nombre de vingt-cinq. Depuis 1994, le musée a procédé à un rééquilibrage de ses dépenses d’investissement avec deux axes prioritaires : - œuvres et objets d’art ; - histoire et technique de la voie d’eau. Cette réorientation de la politique d’enrichissement des collections a été possible grâce à une réelle augmentation du budget du musée parallèlement à la relance des « campagnes de collecte » et à un important travail pour stimuler les dons. La politique de réalisation des « reconstitutions scientifiques » a été provisoirement abandonnée.";Maquettes anciennes de bateaux fluviaux, archives iconographiques de l'ancienne Inspection des Ports de Paris, cartes, photographies, dessins, revues spécialisées, objets.;"Ethnologie : Métiers et Outils;Histoire : Musée thématique;Sciences et techniques : Navigation et Pêche, Batellerie";;;"Château du Prieuré, grande propriété bourgeoise du XIXe siècle. Il se situe à l’emplacement d’un ancien prieuré de sainte Honorine fondé en 1080 par Ives III de Beaumont, dit “le clerc”. Seul le cellier du XIIIe siècle subsiste. Le prieuré connaît une grande prospérité, les reliques de sainte Honorine faisant l’objet d’un pèlerinage très fréquenté. Il est vendu comme bien national à la Révolution. Jules Gévelot, riche industriel, créateur d'une célèbre marque de cartouches de chasse qui porte son nom, député de l’Oise et maire de Conflans-Sainte-Honorine, rachète les divers lots et reconstitue le domaine des religieux ; puis à partir de 1865, il réaménage les bâtiments et le parc comme résidence personnelle dans le style Napoléon III, tels qu’on les voit aujourd’hui. La propriété est achetée par la commune en 1932. Le château se situe sur l’arête du coteau qui domine la Seine et le port batelier, face au sud et à la forêt domaniale de Saint-Germain-en-Laye. La rive de la Seine est occupée par des péniches désormais immobiles, appartenant à des mariniers retraités. S’y trouve également la halte-patrimoine où sont présentés les bateaux de l’Association des Amis du Musée de la Batellerie : l’« A.A.M.B., le « Jacques » et le « Triton 25 ». Deux terrasses publiques, aménagées en terrasse-belvédère, forment transition entre ce rivage et le prieuré. Le panorama sur la vallée de la Seine y est particulièrement agréable. De même, le musée domine l’ensemble du site urbain de Conflans. Ses bâtiments sont situés en lisière d’un vaste parc public, et à proximité de l’église Saint-Maclou.";Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00087412?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&mainSearch=%22prieur%C3%A9%22&ou=%5B%22Conflans-Sainte-Honorine%22%5D&last_view=%22list%22&idQuery=%228ec80ea-20-7dbb-426d-8f6688c37a33%22;Site inscrit.;"PA00087412;IA78001019;IA78001020";;2024-01-26;48.992445, 2.095621
M0389;musée de l'hôtel-Dieu;1 rue Thiers;;78200;Mantes-la-Jolie;Yvelines;Ile-de-France;www.manteslajolie.fr/MUSEE%20DE%20LHOTELDIEU;01 34 78 86 60;;Beaux-Arts,Art moderne et contemporain;Le fonds du musée correspond à la donation de François-Victor Duhamel en 1913, oncle de l'écrivain George Duhamel et grand voyageur, qui comprend 600 pièces de céramiques françaises et européennes. Le musée présente aussi le fonds Maximilien Luce (1858-1941)  donné par Frédéric Luce, fils du peintre.;Collections d'histoire qui évoquent la ville de Mantes au moyen âge : sculptures et lapidaire médiéval, vitraux du XIVe siècle provenant de la collégiale, rares pierres tombales hébraïques du XIIIe siècle. Les oeuvres du peintre pointilliste mantais Maximilien Luce 1874 - 1941) et celles de ses amis Van Dongen et Valtat.;"Archeologie nationale : Médiéval;Architecture et urbanisme;Art moderne et contemporain;Art religieux;Arts décoratifs : Céramique, Mobilier, Textiles (dentelles);Beaux-Arts : Dessin, Estampe et Affiche, Peinture";Maximilien Luce;;Ancien Hôtel-Dieu édifié au XIVe siècle, sous le règne de Charles V, et fortement remanié au XVIe et XVIIe siècles. L'institution est alors gérée par des Augustines qui y soignent les pauvres, les pèlerins et les orphelins.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00087514?base=%5B%22Patrimoine%20architectural%20%28M%C3%A9rim%C3%A9e%29%22%5D&ou=%5B%22Mantes-la-Jolie%22%2C%22Mantes-la-Ville%22%5D&last_view=%22mosaic%22&idQuery=%224d0aa3a-c53c-b8b4-50a6-eae210c72d8f%22;Site patrimonial remarquable.;"PA00087514;SPR1100027";;2024-01-26;48.990874, 1.719901
M0391;musée Victor Aubert;24 rue Quincampoix;;78580;Maule;Yvelines;Ile-de-France;museeaubertmaule.free.fr/;01 30 90 61 49;Musée de site;Archéologie,Ethnologie,Histoire;En 1938, Victor Aubert obtient de la municipalité qu'une salle du prieuré soit mise à sa disposition pour y présenter divers témoignages du patrimoine de Maule, et notamment les résultats de recherches archéologiques (1910-1946).  Après la mort de son fondateur, le musée reste fermé, malgré l'intervention de Jacques Samoên en 1957 et de Raymond Klein en 1970. En 1985, la municipalité en confie l'animation à l'Association pour l'animation, la concertation et l'information de Maule (ACIME)  et plus précisément à Marcel Tréboit (disparu en 2012) grâce à qui le musée connaît un essor sans précédent Néanmoins, divers dons ont  augmenté depuis les collections.;"La ""sculpture"" en grès néolithique.  Grande pierre alvéolaire gallo-romaine.  Collection d'outillage préhistorique. Un terrier maulois de 1713. Collection de cannes et bonnets anciens.  Collection d'outils anciens.";"Archéologie nationale : Préhistoire, Gallo-romain;Arts décoratifs : Textiles, Autre(s);Arts du spectacle : Autre(s);Ethnologie : Métiers et Outils";;Victor Aubert (1874 - 1948);Vestiges d'un prieuré fondé en 1076 par les moines bénédictins de l'abbaye normande de Saint-Evroult. Il subsiste une cave dîmière (XIIIe siècle) et une charpente (XlVe siècle).;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00087530?base=%22merimee%22&qb=%5B%7B%22field%22%3A%5B%22ACTU.keyword%22%5D%2C%22operator%22%3A%22%2A%22%2C%22value%22%3A%22mus%C3%A9e%22%2C%22combinator%22%3A%22AND%22%2C%22index%22%3A0%7D%5D&last_view=%22list%22&idQuery=%224ce1e15-b80-6d17-f402-550626607b1%22.;Abords d'un Monument historique.;PA00087530;;2024-01-26;48.908246, 1.847178
M0401;musée Français de la Photographie;78 rue de Paris;;91570;Bièvres;Essonne;Ile-de-France;photographie.essonne.fr/;01 69 35 16 50;;Histoire,Photographie;Le musée a été fondé par Jean et André Fage. Amateurs passionnés, ils ont su réunir très tôt les témoins de l'histoire de la photographie et ont ouvert un musée associatif en 1960. Cette association, à l'origine du musée actuel, participe activement au conseil scientifique de l'établissement et mène des actions concourant à son rayonnement.;Avec plus de quinze mille objets, deux millions de photographies, une bibliothèque et un fonds documentaire technique unique, le Musée français de la photographie rassemble une des plus importantes collections européennes. Elle témoigne de l'histoire conjuguée des techniques et des usages sociaux de la photographie.;"Autres collections : Photographie;Histoire : Musée thématique;Sciences et techniques : Communication";;;;;;;;2024-01-30;48.762826, 2.225102
M0404;musée du château;place du général de Gaulle;château;91410;Dourdan;Essonne;Ile-de-France;www.dourdan.fr/a-voir-a-vivre/lechateauetsonmusee/;01 64 59 66 83;;Archéologie,Arts décoratifs,Beaux-arts,Histoire;Dans les années 1970, cette maison privée est progressivement transformée en musée par Maître Jean Chanson, notaire à Dourdan, qui commence à y exposer des collections d'histoire locale (tableaux, armes, livres anciens...). Le musée prend un essor réel avec le premier conservateur à partir de 1977.;Maison-musée avec ses décors néo-gothiques et éclectiques. Importante collection de poteries archéologiques gallo-romaines et médiévales. Fonds très important provenant de l'ancien Hôtel-Dieu de Dourdan (tableaux, meubles, archives, statues)  Panel d’outils numériques (film 3D, tablettes, maquettes tactiles) rendanrt accessible l’histoire du monument. Cinq maquettes montrent notamment l’évolution architecturale du château philippien et ses principes défensifs au cours du temps.;"Archeologie nationale : Gallo-romain, Médiéval;Art religieux (tableaux, archives, provenant de l'ancien Hôtel-Dieu de Dourdan.);Arts décoratifs : Céramique, Mobilier;Beaux-Arts : Dessin, Estampe et Affiche, Peinture, Sculpture;Collections militaires : Armes;Autres collections : Archives papier, Plans;Ethnologie : Pratiques religieuses et collectives;Histoire : Histoire locale et régionale;Sciences de la nature : Ornithologie";"Coeck van Aelst : ""Vierge à l'enfant"" dite Vierge au perroquet (XVIe siècle).";Joseph Guyot propriétaire du Château de Dourdan au XIXe siècle, érudit, historien, collectionneur. François Poucetton (journaliste, écrivain, collectionneur).;Le château de Dourdan, achevé vers 1222 par Philippe Auguste, est l’un des seuls édifices du XIIIe siècle aussi bien conservé en Île-de-France. En 1672, le château, possession de Philippe d’Orléans, frère de Louis XIV, devient prison royale. Lors de la Révolution française, l’édifice devient prison départementale et abrite des prisonniers jusqu’en 1852. Il est alors acheté puis légué à la famille Guyot en 1863. Joseph Guyot va alors restaurer et aménager le château tout au long de sa vie.  Dans la cour du château se trouve le musée municipal aménagé dans un ancien grenier à sel du XVIIIe siècle. Joseph Guyot, propriétaire du château, transforme au XIXe siècle cette partie du château en habitation avec un décor néo-gothique et éclectique. Sa fille vend le château en viager en 1961 à la municipalité, qui en devient pleinement propriétaire en 1969. En 2018, la mise en chantier du projet de valorisation et de modernisation du rez-de-chaussée du musée inaugure une nouvelle étape de l’histoire du château. Un an plus tard, un nouvel édifice de 132m² sort de terre. Depuis, les objectifs sont atteints : améliorer l’accueil de tous les publics et mieux faire comprendre l’histoire du monument. Conçue comme un observatoire, l’extension du musée permet de découvrir sous un autre angle la cour ou encore le donjon du château. L'édifice est démontable, de manière à permettre une éventuelle reprise des fouilles archéologiques. Les salles du rez-de-chaussée ont bénéficié d’une refonte de la muséographie.;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00087881?base=%22merimee%22&listResPage=9&qb=%5B%7B%22field%22%3A%5B%22ACTU.keyword%22%5D%2C%22operator%22%3A%22%2A%22%2C%22value%22%3A%22mus%C3%A9e%22%2C%22combinator%22%3A%22AND%22%2C%22index%22%3A0%7D%5D&resPage=9&last_view=%22list%22&idQuery=%22b5bb5-4432-4eb3-f26f-6f414e7acbcd%22;Site classé. Site patrimonial remarquable.;"PA00087881;SPR1100036";;2024-01-30;48.529685, 2.011803
M0405;musée intercommunal;hôtel de ville;;91150;Etampes;Essonne;Ile-de-France;www.mairie-etampes.fr/le-musee/;01 69 92 69 12;;Archéologie,Arts décoratifs,Art moderne et contemporain,Beaux-arts,Ethnologie,Histoire,Photographie,Sciences de la nature,Technique et industrie;La 1re tentative de création d’un musée à Etampes date de 1795 : des « commissaires-artistes » sont alors chargés de prendre possession d’oeuvres d’art conservées dans les châteaux et établissements religieux. Un conservatoire des arts aurait été ouvert dans l’ancien couvent des Cordeliers mais ce bâtiment est vendu à un particulier dès 1796. En 1850, l’idée d’un musée refait surface, mais il faut attendre 1875 pour que le musée d’Etampes voit le jour. Le conseil municipal accepte alors le don proposé par Julie Robert, la veuve du sculpteur Elias Robert, né à Etampes, des œuvres demeurées dans l’atelier de son mari. A partir du 26 septembre de cette même année, quelques objets d’archéologie et d’histoire locale constituent l’essentiel des collections accessibles au public dans une salle de l'Hôtel de Ville. Suite au nombreux dons d'édiles locaux, les collections déménagent dans l'Hôtel dit de Diane de Poitiers (actuelle bibliothèque intercommunale d'Etampes) à partir de 1883. Les nouvelles salles sont inaugurées en 1888. En 1940, les collections sont mises en caisse en vue de travaux, mais le bâtiment abritant le musée est réquisitionné par l'armée allemande. Les collections sont stockées à divers endroits de la ville. En 1956, réouverture du Musée dans l'aile droite de l'Hôtel de VIlle d'Etampes où il se trouve toujours actuellement.  Les 3/5e des collections sont détruites ou non localisées. En 1986, un inventaire complet est réalisé. En 1989, nomination d'un nouveau conservateur. En 2005, le Musée d'Etampes devient intercommunal et est désormais géré par la Communauté d'Agglomération de l'Etampois Sud-Essonne.;Paléontologie, archéologie du sud-Essonne, peintures et sculptures françaises des XVIIIème, XIXème et XXème siècle, Art contemporain et artistes locaux.;"Archeologie nationale : Préhistoire, Protohistoire, Gallo-romain, Médiéval;Beaux-Arts : Dessin, Peinture, Sculpture;Histoire : Histoire locale et régionale;Sciences de la nature : Paléontologie";Louis-Valentin dit Elias Robert (1821 - 1874), Narcisse Berchère, Louise Abbéma, Felix Giacomotti, Elias Robert, Auguste Magne, Edouard Beliard.;;;Protégé au titre des Monuments historiques : https://www.pop.culture.gouv.fr/notice/merimee/PA00087899;Site patrimonial remarquable. Site classé. Abords d'un Monument historique.;"PA00087899;IA00126482;SPR1100038";;2024-01-30;48.434307, 2.161909
